Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit,Order Date,Ship Date
Sub-Saharan Africa,Niger,Personal Care,Online,H,699285638,3015,81.73,56.67,246415.95,170860.05,75555.9,11-03-2017,28-03-2017
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,382392299,7234,437.2,263.33,3162704.8,1904929.22,1257775.58,06-02-2010,25-02-2010
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,994022214,2117,205.7,117.11,435466.9,247921.87,187545.03,07-06-2012,06-08-2012
Europe,Slovakia,Vegetables,Online,H,759224212,171,154.06,90.93,26344.26,15549.03,10795.23,06-10-2012,11-10-2012
Asia,Myanmar,Clothes,Online,H,223359620,5930,109.28,35.84,648030.4,212531.2,435499.2,14-11-2015,18-11-2015
Sub-Saharan Africa,Comoros,Cereal,Offline,H,902102267,962,205.7,117.11,197883.4,112659.82,85223.58,29-03-2016,29-04-2016
Europe,Iceland,Cosmetics,Online,C,331438481,8867,437.2,263.33,3876652.4,2334947.11,1541705.29,31-12-2016,31-12-2016
Europe,Switzerland,Personal Care,Online,M,617667090,273,81.73,56.67,22312.29,15470.91,6841.38,23-12-2010,31-01-2011
Europe,Macedonia,Clothes,Offline,C,787399423,7842,109.28,35.84,856973.76,281057.28,575916.48,14-10-2014,14-11-2014
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,837559306,1266,651.21,524.96,824431.86,664599.36,159832.5,11-01-2012,13-01-2012
Europe,Albania,Clothes,Online,C,385383069,2269,109.28,35.84,247956.32,81320.96,166635.36,02-02-2010,18-03-2010
Sub-Saharan Africa,Lesotho,Fruits,Online,L,918419539,9606,9.33,6.92,89623.98,66473.52,23150.46,18-08-2013,18-09-2013
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,844530045,4063,205.7,117.11,835759.1,475817.93,359941.17,25-03-2013,28-03-2013
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,441888415,3457,651.21,524.96,2251232.97,1814786.72,436446.25,26-11-2011,01-07-2012
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,508980977,7637,9.33,6.92,71253.21,52848.04,18405.17,17-09-2013,24-10-2013
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,114606559,3482,109.28,35.84,380512.96,124794.88,255718.08,08-06-2012,27-06-2012
Australia and Oceania,Fiji,Clothes,Offline,C,647876489,9905,109.28,35.84,1082418.4,354995.2,727423.2,30-06-2010,08-01-2010
Europe,Austria,Cosmetics,Offline,H,868214595,2847,437.2,263.33,1244708.4,749700.51,495007.89,23-02-2015,03-02-2015
Europe,United Kingdom,Household,Online,L,955357205,282,668.27,502.54,188452.14,141716.28,46735.86,05-01-2012,14-02-2012
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,259353148,7215,437.2,263.33,3154398,1899925.95,1254472.05,07-04-2014,19-04-2014
Australia and Oceania,Australia,Cereal,Offline,H,450563752,682,205.7,117.11,140287.4,79869.02,60418.38,09-06-2013,07-02-2013
Europe,San Marino,Baby Food,Online,L,569662845,4750,255.28,159.42,1212580,757245,455335,26-06-2013,07-01-2013
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,177636754,5518,651.21,524.96,3593376.78,2896729.28,696647.5,07-11-2011,15-11-2011
Middle East and North Africa,Libya,Clothes,Offline,H,705784308,6116,109.28,35.84,668356.48,219197.44,449159.04,30-10-2010,17-11-2010
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,505716836,1705,437.2,263.33,745426,448977.65,296448.35,13-10-2013,16-11-2013
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,699358165,4477,437.2,263.33,1957344.4,1178928.41,778415.99,11-10-2013,25-11-2013
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,228944623,8656,81.73,56.67,707454.88,490535.52,216919.36,08-07-2012,07-09-2012
Central America and the Caribbean,Belize,Clothes,Offline,M,807025039,5498,109.28,35.84,600821.44,197048.32,403773.12,25-07-2016,09-07-2016
Europe,Lithuania,Office Supplies,Offline,H,166460740,8287,651.21,524.96,5396577.27,4350343.52,1046233.75,24-10-2010,17-11-2010
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,610425555,7342,109.28,35.84,802333.76,263137.28,539196.48,25-04-2015,28-05-2015
Asia,Turkmenistan,Office Supplies,Online,M,462405812,5010,651.21,524.96,3262562.1,2630049.6,632512.5,23-04-2013,20-05-2013
Middle East and North Africa,Libya,Fruits,Online,L,816200339,673,9.33,6.92,6279.09,4657.16,1621.93,14-08-2015,30-09-2015
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,585920464,5741,47.45,31.79,272410.45,182506.39,89904.06,26-05-2011,15-07-2011
Sub-Saharan Africa,Djibouti,Cereal,Online,H,555990016,8656,205.7,117.11,1780539.2,1013704.16,766835.04,20-05-2017,17-06-2017
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,231145322,9892,437.2,263.33,4324782.4,2604860.36,1719922.04,05-07-2013,16-08-2013
North America,Mexico,Household,Offline,C,986435210,6954,668.27,502.54,4647149.58,3494663.16,1152486.42,06-11-2014,12-12-2014
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,217221009,9379,47.45,31.79,445033.55,298158.41,146875.14,28-10-2014,15-11-2014
Asia,Laos,Vegetables,Offline,C,789176547,3732,154.06,90.93,574951.92,339350.76,235601.16,15-09-2011,23-10-2011
Europe,Monaco,Baby Food,Offline,H,688288152,8614,255.28,159.42,2198981.92,1373243.88,825738.04,29-05-2012,06-02-2012
Australia and Oceania,Samoa ,Cosmetics,Online,H,670854651,9654,437.2,263.33,4220728.8,2542187.82,1678540.98,20-07-2013,08-07-2013
Europe,Spain,Household,Offline,L,213487374,4513,668.27,502.54,3015902.51,2267963.02,747939.49,21-10-2012,30-11-2012
Middle East and North Africa,Lebanon,Clothes,Online,L,663110148,7884,109.28,35.84,861563.52,282562.56,579000.96,18-09-2012,10-08-2012
Middle East and North Africa,Iran,Cosmetics,Online,H,286959302,6489,437.2,263.33,2836990.8,1708748.37,1128242.43,15-11-2016,12-08-2016
Sub-Saharan Africa,Zambia,Snacks,Online,L,122583663,4085,152.58,97.44,623289.3,398042.4,225246.9,04-01-2011,01-05-2011
Sub-Saharan Africa,Kenya,Vegetables,Online,L,827844560,6457,154.06,90.93,994765.42,587135.01,407630.41,18-03-2012,04-07-2012
North America,Mexico,Personal Care,Offline,L,430915820,6422,81.73,56.67,524870.06,363934.74,160935.32,17-02-2012,20-03-2012
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,180283772,8829,47.45,31.79,418936.05,280673.91,138262.14,16-01-2011,21-01-2011
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,494747245,5559,255.28,159.42,1419101.52,886215.78,532885.74,03-02-2014,20-03-2014
Middle East and North Africa,Kuwait,Fruits,Online,M,513417565,522,9.33,6.92,4870.26,3612.24,1258.02,30-04-2012,18-05-2012
Europe,Slovenia,Beverages,Offline,C,345718562,4660,47.45,31.79,221117,148141.4,72975.6,23-10-2016,25-11-2016
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,621386563,948,651.21,524.96,617347.08,497662.08,119685,06-12-2016,14-12-2016
Australia and Oceania,Australia,Beverages,Offline,H,240470397,9389,47.45,31.79,445508.05,298476.31,147031.74,07-07-2014,07-11-2014
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,423331391,2021,651.21,524.96,1316095.41,1060944.16,255151.25,13-06-2012,24-07-2012
Europe,Romania,Cosmetics,Online,H,660643374,7910,437.2,263.33,3458252,2082940.3,1375311.7,26-11-2010,25-12-2010
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,963392674,8156,47.45,31.79,387002.2,259279.24,127722.96,08-02-2011,21-03-2011
Sub-Saharan Africa,Mali,Clothes,Online,M,512878119,888,109.28,35.84,97040.64,31825.92,65214.72,26-07-2011,09-03-2011
Asia,Malaysia,Fruits,Offline,L,810711038,6267,9.33,6.92,58471.11,43367.64,15103.47,11-11-2011,28-12-2011
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,728815257,1485,154.06,90.93,228779.1,135031.05,93748.05,01-06-2016,29-06-2016
North America,Mexico,Personal Care,Offline,M,559427106,5767,81.73,56.67,471336.91,326815.89,144521.02,30-07-2015,08-08-2015
Sub-Saharan Africa,Mozambique,Household,Offline,L,665095412,5367,668.27,502.54,3586605.09,2697132.18,889472.91,10-02-2012,15-02-2012
